Latitude,Longitude,Policy_Year,Avg_Wind_Speed,Avg_Pressure,Avg_Dist2Land,Total_Insured_Value,Premium,Losses
-15.7,-61.7,1985,29.253190634222637,1013.0,427.2518600894249,247671.0,887.0,0.0
-15.7,-61.7,1986,29.253190634222637,1013.0,427.2518600894249,253664.0,904.0,0.0
-15.7,-61.7,1987,29.253190634222637,1013.0,427.2518600894249,259093.0,922.0,0.0
-15.7,-61.7,1988,29.253190634222637,1013.0,427.2518600894249,264793.0,941.0,0.0
-15.7,-61.7,1989,29.253190634222637,1013.0,427.2518600894249,270274.0,960.0,0.0
-15.7,-61.7,1990,29.253190634222637,1013.0,427.2518600894249,276193.0,979.0,0.0
-15.7,-61.7,1991,29.253190634222637,1013.0,427.2518600894249,281938.0,998.0,7189.0
-15.7,-61.7,1992,29.253190634222637,1013.0,427.2518600894249,286364.0,1018.0,0.0
-15.7,-61.7,1993,29.253190634222637,1013.0,427.2518600894249,292550.0,1039.0,0.0
-15.7,-61.7,1994,29.253190634222637,1013.0,427.2518600894249,299074.0,1060.0,0.0
-15.7,-61.7,1995,29.253190634222637,1013.0,427.2518600894249,305324.0,1081.0,0.0
-15.7,-61.7,1996,29.253190634222637,1013.0,427.2518600894249,311278.0,1102.0,0.0
-15.7,-61.7,1997,29.253190634222637,1013.0,427.2518600894249,317877.0,1124.0,10019.0
-15.7,-61.7,1998,29.253190634222637,1013.0,427.2518600894249,323186.0,1147.0,0.0
-15.7,-61.7,1999,29.253190634222637,1013.0,427.2518600894249,330231.0,1170.0,0.0
-15.7,-61.7,2000,29.253190634222637,1013.0,427.2518600894249,337860.0,1193.0,0.0
-15.7,-61.7,2001,29.253190634222637,1013.0,427.2518600894249,343029.0,1217.0,0.0
-15.7,-61.7,2002,29.253190634222637,1013.0,427.2518600894249,349409.0,1241.0,0.0
-15.7,-61.7,2003,29.253190634222637,1013.0,427.2518600894249,357306.0,1266.0,0.0
-15.7,-61.7,2004,29.253190634222637,1013.0,427.2518600894249,364273.0,1292.0,0.0
-15.7,-61.7,2005,29.253190634222637,1013.0,427.2518600894249,371705.0,1317.0,0.0
-15.7,-61.7,2006,29.253190634222637,1013.0,427.2518600894249,378544.0,1344.0,0.0
-15.7,-61.7,2007,29.253190634222637,1013.0,427.2518600894249,386266.0,1371.0,0.0
-15.7,-61.7,2008,29.253190634222637,1013.0,427.2518600894249,393798.0,1398.0,0.0
-15.7,-61.7,2009,29.253190634222637,1013.0,427.2518600894249,402541.0,1426.0,0.0
-15.7,-61.7,2010,29.253190634222637,1013.0,427.2518600894249,411759.0,1455.0,0.0
-15.7,-61.7,2011,29.253190634222637,1013.0,427.2518600894249,419788.0,1484.0,0.0
-15.7,-61.7,2012,29.253190634222637,1013.0,427.2518600894249,426631.0,1513.0,0.0
-15.7,-61.7,2013,29.253190634222637,1013.0,427.2518600894249,434651.0,1544.0,0.0
-15.7,-61.7,2014,29.253190634222637,1013.0,427.2518600894249,445040.0,1575.0,0.0
-15.7,-61.7,2015,29.253190634222637,1013.0,427.2518600894249,453362.0,1606.0,0.0
-15.7,-61.7,2016,29.253190634222637,1013.0,427.2518600894249,463336.0,1638.0,0.0
-15.7,-61.7,2017,29.253190634222637,1013.0,427.2518600894249,474178.0,1671.0,0.0
-15.7,-61.7,2018,29.253190634222637,1013.0,427.2518600894249,482144.0,1704.0,0.0
-15.7,-61.7,2019,29.253190634222637,1013.0,427.2518600894249,491932.0,1738.0,0.0
-15.7,-61.7,2020,29.253190634222637,1013.0,427.2518600894249,499655.0,1773.0,0.0
-15.7,-61.7,2021,29.253190634222637,1013.0,427.2518600894249,508149.0,1809.0,0.0
-9.3,-71.1,1985,29.253190634222637,1013.0,427.2518600894249,140220.0,502.0,0.0
-9.3,-71.1,1986,29.253190634222637,1013.0,427.2518600894249,143333.0,512.0,0.0
-9.3,-71.1,1987,29.253190634222637,1013.0,427.2518600894249,145941.0,522.0,0.0
-9.3,-71.1,1988,29.253190634222637,1013.0,427.2518600894249,149079.0,533.0,0.0
-9.3,-71.1,1989,29.253190634222637,1013.0,427.2518600894249,151405.0,543.0,0.0
-9.3,-71.1,1990,29.253190634222637,1013.0,427.2518600894249,153963.0,554.0,0.0
-9.3,-71.1,1991,29.253190634222637,1013.0,427.2518600894249,156781.0,565.0,0.0
-9.3,-71.1,1992,29.253190634222637,1013.0,427.2518600894249,159525.0,576.0,0.0
-9.3,-71.1,1993,29.253190634222637,1013.0,427.2518600894249,162699.0,588.0,0.0
-9.3,-71.1,1994,29.253190634222637,1013.0,427.2518600894249,165286.0,600.0,0.0
-9.3,-71.1,1995,29.253190634222637,1013.0,427.2518600894249,169319.0,612.0,0.0
-9.3,-71.1,1996,29.253190634222637,1013.0,427.2518600894249,172282.0,624.0,0.0
-9.3,-71.1,1997,29.253190634222637,1013.0,427.2518600894249,175487.0,636.0,0.0
-9.3,-71.1,1998,29.253190634222637,1013.0,427.2518600894249,178786.0,649.0,0.0
-9.3,-71.1,1999,29.253190634222637,1013.0,427.2518600894249,181646.0,662.0,0.0
-9.3,-71.1,2000,29.253190634222637,1013.0,427.2518600894249,184643.0,675.0,0.0
-9.3,-71.1,2001,29.253190634222637,1013.0,427.2518600894249,188004.0,689.0,0.0
-9.3,-71.1,2002,29.253190634222637,1013.0,427.2518600894249,190956.0,703.0,4786.0
-9.3,-71.1,2003,29.253190634222637,1013.0,427.2518600894249,194049.0,717.0,0.0
-9.3,-71.1,2004,29.253190634222637,1013.0,427.2518600894249,197814.0,731.0,0.0
-9.3,-71.1,2005,29.253190634222637,1013.0,427.2518600894249,200900.0,746.0,0.0
-9.3,-71.1,2006,29.253190634222637,1013.0,427.2518600894249,205822.0,761.0,0.0
-9.3,-71.1,2007,29.253190634222637,1013.0,427.2518600894249,209218.0,776.0,0.0
-9.3,-71.1,2008,29.253190634222637,1013.0,427.2518600894249,214176.0,791.0,0.0
-9.3,-71.1,2009,29.253190634222637,1013.0,427.2518600894249,217710.0,807.0,0.0
-9.3,-71.1,2010,29.253190634222637,1013.0,427.2518600894249,221825.0,823.0,0.0
-9.3,-71.1,2011,29.253190634222637,1013.0,427.2518600894249,226150.0,840.0,0.0
-9.3,-71.1,2012,29.253190634222637,1013.0,427.2518600894249,230266.0,857.0,0.0
-9.3,-71.1,2013,29.253190634222637,1013.0,427.2518600894249,235839.0,874.0,0.0
-9.3,-71.1,2014,29.253190634222637,1013.0,427.2518600894249,241570.0,891.0,0.0
-9.3,-71.1,2015,29.253190634222637,1013.0,427.2518600894249,245845.0,909.0,0.0
-9.3,-71.1,2016,29.253190634222637,1013.0,427.2518600894249,251229.0,927.0,0.0
-9.3,-71.1,2017,29.253190634222637,1013.0,427.2518600894249,256957.0,946.0,0.0
-9.3,-71.1,2018,29.253190634222637,1013.0,427.2518600894249,262071.0,965.0,0.0
-9.3,-71.1,2019,29.253190634222637,1013.0,427.2518600894249,268361.0,984.0,0.0
-9.3,-71.1,2020,29.253190634222637,1013.0,427.2518600894249,273594.0,1004.0,0.0
-9.3,-71.1,2021,29.253190634222637,1013.0,427.2518600894249,279941.0,1024.0,9767.0
-0.3,-79.3,1985,29.253190634222637,1013.0,427.2518600894249,1093761.0,9455.0,0.0
-0.3,-79.3,1986,29.253190634222637,1013.0,427.2518600894249,1111589.0,9644.0,0.0
-0.3,-79.3,1987,29.253190634222637,1013.0,427.2518600894249,1136044.0,9836.0,0.0
-0.3,-79.3,1988,29.253190634222637,1013.0,427.2518600894249,1162059.0,10033.0,0.0
-0.3,-79.3,1989,29.253190634222637,1013.0,427.2518600894249,1186114.0,10234.0,0.0
-0.3,-79.3,1990,29.253190634222637,1013.0,427.2518600894249,1206871.0,10439.0,0.0
-0.3,-79.3,1991,29.253190634222637,1013.0,427.2518600894249,1226181.0,10647.0,0.0
-0.3,-79.3,1992,29.253190634222637,1013.0,427.2518600894249,1254874.0,10860.0,0.0
-0.3,-79.3,1993,29.253190634222637,1013.0,427.2518600894249,1274324.0,11077.0,87955.0
-0.3,-79.3,1994,29.253190634222637,1013.0,427.2518600894249,1305927.0,11299.0,0.0
-0.3,-79.3,1995,29.253190634222637,1013.0,427.2518600894249,1333221.0,11525.0,0.0
-0.3,-79.3,1996,29.253190634222637,1013.0,427.2518600894249,1357752.0,11756.0,0.0
-0.3,-79.3,1997,29.253190634222637,1013.0,427.2518600894249,1382464.0,11991.0,0.0
-0.3,-79.3,1998,29.253190634222637,1013.0,427.2518600894249,1408177.0,12230.0,0.0
-0.3,-79.3,1999,29.253190634222637,1013.0,427.2518600894249,1441833.0,12475.0,0.0
-0.3,-79.3,2000,29.253190634222637,1013.0,427.2518600894249,1471246.0,12725.0,0.0
-0.3,-79.3,2001,29.253190634222637,1013.0,427.2518600894249,1497140.0,12979.0,0.0
-0.3,-79.3,2002,29.253190634222637,1013.0,427.2518600894249,1534269.0,13239.0,0.0
-0.3,-79.3,2003,29.253190634222637,1013.0,427.2518600894249,1561119.0,13503.0,0.0
-0.3,-79.3,2004,29.253190634222637,1013.0,427.2518600894249,1600147.0,13773.0,0.0
-0.3,-79.3,2005,29.253190634222637,1013.0,427.2518600894249,1638070.0,14049.0,0.0
-0.3,-79.3,2006,29.253190634222637,1013.0,427.2518600894249,1668375.0,14330.0,0.0
-0.3,-79.3,2007,29.253190634222637,1013.0,427.2518600894249,1708916.0,14616.0,0.0
-0.3,-79.3,2008,29.253190634222637,1013.0,427.2518600894249,1743265.0,14909.0,0.0
-0.3,-79.3,2009,29.253190634222637,1013.0,427.2518600894249,1770983.0,15207.0,0.0
-0.3,-79.3,2010,29.253190634222637,1013.0,427.2518600894249,1807111.0,15511.0,0.0
-0.3,-79.3,2011,29.253190634222637,1013.0,427.2518600894249,1840182.0,15821.0,124672.0
-0.3,-79.3,2012,29.253190634222637,1013.0,427.2518600894249,1877537.0,16138.0,0.0
-0.3,-79.3,2013,29.253190634222637,1013.0,427.2518600894249,1914525.0,16461.0,0.0
-0.3,-79.3,2014,29.253190634222637,1013.0,427.2518600894249,1944391.0,16790.0,0.0
-0.3,-79.3,2015,29.253190634222637,1013.0,427.2518600894249,1989890.0,17126.0,0.0
-0.3,-79.3,2016,29.253190634222637,1013.0,427.2518600894249,2031877.0,17468.0,0.0
-0.3,-79.3,2017,29.253190634222637,1013.0,427.2518600894249,2069670.0,17817.0,0.0
-0.3,-79.3,2018,29.253190634222637,1013.0,427.2518600894249,2107959.0,18174.0,0.0
-0.3,-79.3,2019,29.253190634222637,1013.0,427.2518600894249,2147588.0,18537.0,0.0
-0.3,-79.3,2020,29.253190634222637,1013.0,427.2518600894249,2185815.0,18908.0,0.0
-0.3,-79.3,2021,29.253190634222637,1013.0,427.2518600894249,2226690.0,19286.0,0.0
4.8,-52.5,1985,29.253190634222637,1013.0,427.2518600894249,465761.0,4290.0,0.0
4.8,-52.5,1986,29.253190634222637,1013.0,427.2518600894249,473400.0,4375.0,30146.0
4.8,-52.5,1987,29.253190634222637,1013.0,427.2518600894249,483625.0,4463.0,43780.0
4.8,-52.5,1988,29.253190634222637,1013.0,427.2518600894249,494216.0,4552.0,0.0
4.8,-52.5,1989,29.253190634222637,1013.0,427.2518600894249,502223.0,4643.0,0.0
4.8,-52.5,1990,29.253190634222637,1013.0,427.2518600894249,511665.0,4736.0,0.0
4.8,-52.5,1991,29.253190634222637,1013.0,427.2518600894249,522870.0,4831.0,45505.0
4.8,-52.5,1992,29.253190634222637,1013.0,427.2518600894249,533380.0,4927.0,0.0
4.8,-52.5,1993,29.253190634222637,1013.0,427.2518600894249,542501.0,5026.0,0.0
4.8,-52.5,1994,29.253190634222637,1013.0,427.2518600894249,553785.0,5126.0,30245.0
4.8,-52.5,1995,29.253190634222637,1013.0,427.2518600894249,564140.0,5229.0,0.0
4.8,-52.5,1996,29.253190634222637,1013.0,427.2518600894249,575028.0,5333.0,0.0
4.8,-52.5,1997,29.253190634222637,1013.0,427.2518600894249,585206.0,5440.0,0.0
4.8,-52.5,1998,29.253190634222637,1013.0,427.2518600894249,594745.0,5549.0,0.0
4.8,-52.5,1999,29.253190634222637,1013.0,427.2518600894249,607770.0,5660.0,0.0
