Latitude,Longitude,Total_Insured_Value,Premium,Losses,Policy_Year,Avg_Wind_Speed,Avg_Pressure,Avg_Dist2Land,Premium_BoxCox,Standardized_Residuals,Premium_Ratio,Premium_Ratio_BoxCox
19.0,-100.1,290874.0,2644.0,13800.0,1985,27.5,1003.1666666666666,873.1874457541227,8.13027776376299,-0.15818240126504582,0.009089846462729567,-1.4065214328015934
19.0,-100.1,296488.0,2697.0,0.0,1986,27.5,1003.1666666666666,873.1874457541227,8.151400227227194,-0.08690502976370687,0.009096489571247403,-1.4064918444884977
19.0,-100.1,301944.0,2751.0,0.0,1987,27.5,1003.1666666666666,873.1874457541227,8.172501852275614,-0.06526982240850403,0.009110960972895637,-1.4064274128291696
19.0,-100.1,308254.0,2806.0,0.0,1988,27.5,1003.1666666666666,873.1874457541227,8.193575969973317,-0.04487590727604599,0.009102882687653689,-1.4064633761207121
19.0,-100.1,313433.0,2862.0,0.0,1989,27.5,1003.1666666666666,873.1874457541227,8.214616324045835,-0.02297609230327457,0.009131138074165771,-1.406337631692242
19.0,-100.1,318636.0,2919.0,0.0,1990,27.5,1003.1666666666666,873.1874457541227,8.235617052450756,-0.00118537498319662,0.009160923436146575,-1.4062052122545494
19.0,-100.1,326315.0,2977.0,0.0,1991,27.5,1003.1666666666666,873.1874457541227,8.2565726693492,0.017080924160533178,0.009123086588112714,-1.406373450458704
19.0,-100.1,331242.0,3037.0,0.0,1992,27.5,1003.1666666666666,873.1874457541227,8.27782889164539,0.03970965353451129,0.009168523315280067,-1.4061714467175983
19.0,-100.1,336443.0,3098.0,0.0,1993,27.5,1003.1666666666666,873.1874457541227,8.299016489170551,0.061831017067886046,0.009208097656958236,-1.4059957652166235
19.0,-100.1,344686.0,3159.0,0.0,1994,27.5,1003.1666666666666,873.1874457541227,8.319794170488665,0.07898524883588574,0.009164863092785898,-1.4061877076256226
19.0,-100.1,352303.0,3223.0,0.0,1995,27.5,1003.1666666666666,873.1874457541227,8.34117010811167,0.09808751559000109,0.009148375120279986,-1.406260982715003
19.0,-100.1,360723.0,3287.0,0.0,1996,27.5,1003.1666666666666,873.1874457541227,8.362129008714971,0.11532057563116897,0.009112255109876554,-1.4064216524710327
19.0,-100.1,367577.0,3353.0,0.0,1997,27.5,1003.1666666666666,873.1874457541227,8.383323034433504,0.13515196475640723,0.009121898268934128,-1.4063787378026587
19.0,-100.1,373532.0,3420.0,0.0,1998,27.5,1003.1666666666666,873.1874457541227,8.404418988840535,0.156054168276412,0.009155842069755737,-1.406227793246115
19.0,-100.1,381525.0,3488.0,0.0,1999,27.5,1003.1666666666666,873.1874457541227,8.425414649912293,0.17394540121689203,0.009142258043378546,-1.4062881786189367
19.0,-100.1,388927.0,3558.0,0.0,2000,27.5,1003.1666666666666,873.1874457541227,8.446607844931608,0.19301426169135052,0.009148246329002616,-1.4062615552483984
19.0,-100.1,397872.0,3629.0,0.0,2001,27.5,1003.1666666666666,873.1874457541227,8.467685364501092,0.20973262407671556,0.009121023846865323,-1.4063826286229524
19.0,-100.1,405790.0,3702.0,0.0,2002,27.5,1003.1666666666666,873.1874457541227,8.488934274986024,0.22818756307767413,0.009122945365829617,-1.4063740788060195
19.0,-100.1,414555.0,3776.0,0.0,2003,27.5,1003.1666666666666,873.1874457541227,8.510054141415887,0.24523503683680728,0.009108562193195113,-1.4064380907716396
19.0,-100.1,424629.0,3851.0,0.0,2004,27.5,1003.1666666666666,873.1874457541227,8.531044501166354,0.26023301724712544,0.009069093255524234,-1.4066139116040182
19.0,-100.1,432654.0,3928.0,0.0,2005,27.5,1003.1666666666666,873.1874457541227,8.552176819682924,0.2783346521935455,0.009078848225140643,-1.4065704339114509
19.0,-100.1,440485.0,4007.0,0.0,2006,27.5,1003.1666666666666,873.1874457541227,8.573435122200644,0.29693578765815776,0.009096791037152229,-1.4064905019264677
19.0,-100.1,447885.0,4087.0,0.0,2007,27.5,1003.1666666666666,873.1874457541227,8.594542924425289,0.31586685135727605,0.009125110240351876,-1.4063644468618177
19.0,-100.1,454604.0,4169.0,0.0,2008,27.5,1003.1666666666666,873.1874457541227,8.615757212801462,0.33593943155480743,0.00917061882429543,-1.406162138135903
19.0,-100.1,462877.0,4252.0,0.0,2009,27.5,1003.1666666666666,873.1874457541227,8.636812750927058,0.3535711864432474,0.00918602566124478,-1.4060937192773761
19.0,-100.1,472552.0,4337.0,0.0,2010,27.5,1003.1666666666666,873.1874457541227,8.657957185340551,0.36942033816876374,0.00917782593238416,-1.406130128183769
